,City,Cloudiness,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
367,Sechura,0,1565496188,87,-5.56,-80.82,289.51,5.32
368,Tiarei,20,1565496188,65,-17.53,-149.33,301.15,4.6
369,Montepuez,0,1565496188,88,-13.13,39.0,289.71,2.83
370,Manokwari,19,1565496188,67,-0.87,134.08,300.19,1.82
371,Richards Bay,0,1565496189,77,-28.77,32.06,292.39,8.99
372,Sioux Lookout,90,1565496052,93,50.1,-91.92,291.15,1.5
373,Tessalit,0,1565496189,11,20.2,1.01,306.19,4.11
374,Pimentel,0,1565496189,65,-3.7,-45.5,295.09,0.4
375,Smiltene,100,1565496189,93,57.42,25.9,288.15,0.89
376,Tymovskoye,100,1565496190,50,50.85,142.66,295.72,0.5
377,Katherine,22,1565496190,11,-14.47,132.26,303.15,7.7
378,Bagdarin,0,1565496190,48,54.44,113.59,294.77,2.31
379,Akureyri,90,1565496190,87,65.68,-18.09,280.15,7.7
380,Qaqortoq,8,1565496190,76,60.72,-46.03,282.15,2.6
381,Gizo,20,1565496191,78,31.8,34.94,297.15,3.1
382,Quchan,0,1565496191,12,37.11,58.51,292.72,3.07
383,Lower Burrell,1,1565496191,72,40.59,-79.73,291.48,2.1
384,Nadym,0,1565496191,61,65.53,72.51,284.72,2.87
385,Port Macquarie,0,1565495912,29,-31.43,152.91,290.93,8.2
386,Evensk,12,1565496192,44,61.92,159.24,293.81,8.04
387,Mounana,100,1565496192,67,-1.38,13.16,296.12,2.17
388,Tongchuan,0,1565496192,58,34.9,108.95,302.15,1.0
389,Oxelosund,0,1565496192,93,58.67,17.1,289.15,3.1
390,Ilheus,20,1565496192,100,-14.79,-39.05,295.15,0.5
391,Santa Maria,0,1565496125,60,-16.02,-48.01,294.15,1.0
392,Dongsheng,0,1565496193,65,29.72,112.52,303.96,0.98
393,Kongolo,11,1565496193,72,-5.39,27.0,295.99,1.6
394,Pacific Grove,1,1565495977,82,36.62,-121.92,294.26,3.1
395,Opatija,0,1565496193,78,45.33,14.3,297.59,2.1
396,Te Anau,45,1565496193,85,-45.41,167.72,276.1,0.52
397,Goias,0,1565496194,48,-15.93,-50.14,294.6,1.62
398,Paralimni,0,1565496194,71,40.99,23.67,299.26,0.45
399,Buin,90,1565496194,61,-33.73,-70.74,283.15,3.1
400,Vila Velha,75,1565496194,78,-3.71,-38.6,299.15,6.2
401,Emirdag,0,1565496194,61,39.02,31.15,289.24,2.55
402,Henties Bay,5,1565496195,93,-22.12,14.28,285.93,1.34
403,Primalkinskoye,75,1565496195,72,43.75,44.01,292.15,2.0
404,Zhaotong,0,1565496195,48,27.34,103.71,295.55,0.42
